,FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,CIFSN_x,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,COUSUB,COUSUBCC,COUSUBNS,SUBMCD,SUBMCDCC,SUBMCDNS,ESTATE,ESTATECC,ESTATENS,CONCIT,CONCITCC,CONCITNS,PLACE,PLACECC,PLACENS,TRACT,BLKGRP,BLOCK,AIANHH,AIHHTLI,AIANHHFP,AIANHHCC,AIANHHNS,AITS,AITSFP,AITSCC,AITSNS,TTRACT,TBLKGRP,ANRC,ANRCCC,ANRCNS,CBSA,MEMI,CSA,METDIV,NECTA,NMEMI,CNECTA,NECTADIV,CBSAPCI,NECTAPCI,UA,UATYPE,UR,CD116,CD118,CD119,CD120,CD121,SLDU18,SLDU22,SLDU24,SLDU26,SLDU28,SLDL18,SLDL22,SLDL24,SLDL26,SLDL28,VTD,VTDI,ZCTA,SDELM,SDSEC,SDUNI,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,GCUNI,POP100,HU100,INTPTLAT,INTPTLON,LSADC,PARTFLAG,UGA,CIFSN_y,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,CIFSN_x.1,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,CIFSN_y.1,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
76,PLST,NY,60,0,0,0,0,78,0600000US3600301319,3600301319,1,2,36,1779796,3.0,H1,974100.0,1319.0,T1,978668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,94216142,525410,Allen,Allen town,A,,494,304,42.3974001,-78.0043445,43,,,1,494,467,447,3,2,3,0,12,27,26,0,16,1,0,7,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,4,490,466,447,3,2,3,0,11,24,23,0,15,1,0,5,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,377,361,346,2,2,3,0,8,16,15,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,3,374,360,346,2,2,3,0,7,14,13,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,168,136,3,0,0,0,0,0,0,0,0,0,0
77,PLST,NY,60,0,0,0,0,79,0600000US3600301429,3600301429,1,2,36,1779796,3.0,H1,974100.0,1429.0,T1,978669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,93735405,780831,Alma,Alma town,A,,781,495,42.0476683,-78.01622420000001,43,,,1,781,741,732,3,0,1,0,5,40,39,1,17,8,2,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,3,778,739,731,3,0,1,0,4,39,38,1,17,8,2,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,616,584,575,3,0,1,0,5,32,31,0,14,4,2,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,3,613,582,574,3,0,1,0,4,31,30,0,14,4,2,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,330,165,3,0,0,0,0,0,0,0,0,0,0
78,PLST,NY,60,0,0,0,0,80,0600000US3600301451,3600301451,1,2,36,1779796,3.0,H1,974100.0,1451.0,T1,978670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,118406878,174639,Almond,Almond town,A,,1512,754,42.3409321,-77.7816305,43,,,1,1512,1434,1394,5,0,19,0,16,78,75,5,26,12,0,31,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,36,1476,1420,1387,3,0,17,0,13,56,54,5,24,9,0,15,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1156,1107,1077,5,0,19,0,6,49,47,4,15,5,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,20,1136,1098,1075,3,0,17,0,3,38,37,4,15,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,610,144,3,7,0,0,0,0,0,7,0,0,7
79,PLST,NY,60,0,0,0,0,81,0600000US3600302011,3600302011,1,2,36,1779796,3.0,H1,974100.0,2011.0,T1,978676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,89305416,318395,Amity,Amity town,A,,2171,1115,42.22606270000001,-78.0032701,43,,,1,2171,2060,1992,47,2,4,0,15,111,107,3,46,11,0,44,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171,39,2132,2028,1973,47,2,4,0,2,104,101,3,46,10,0,40,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1737,1667,1608,43,2,4,0,10,70,68,0,34,4,0,29,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1737,14,1723,1653,1603,43,2,4,0,1,70,68,0,34,4,0,29,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,934,181,3,101,78,78,0,0,0,23,0,0,23
80,PLST,NY,60,0,0,0,0,82,0600000US3600302154,3600302154,1,2,36,1779796,3.0,H1,974100.0,2154.0,T1,978681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,102124417,171049,Andover,Andover town,A,,1615,835,42.1506991,-77.8111928,43,,,1,1615,1558,1545,6,2,3,0,2,57,55,10,21,2,0,20,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615,10,1605,1549,1538,6,2,3,0,0,56,55,10,21,2,0,20,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1276,1234,1228,2,0,3,0,1,42,40,4,17,0,0,17,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,9,1267,1226,1221,2,0,3,0,0,41,40,4,17,0,0,17,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,672,163,3,0,0,0,0,0,0,0,0,0,0
81,PLST,NY,60,0,0,0,0,83,0600000US3600302187,3600302187,1,2,36,1779796,3.0,H1,974100.0,2187.0,T1,978682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,94260133,97381,Angelica,Angelica town,A,,1272,755,42.3040284,-78.0155027,43,,,1,1272,1231,1220,2,2,6,0,1,41,40,3,19,1,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272,13,1259,1227,1217,2,2,6,0,0,32,32,3,19,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,998,973,966,0,1,6,0,0,25,25,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,9,989,970,963,0,1,6,0,0,19,19,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,563,192,3,0,0,0,0,0,0,0,0,0,0
82,PLST,NY,60,0,0,0,0,84,0600000US3600305573,3600305573,1,2,36,1779796,3.0,H1,974100.0,5573.0,T1,978720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,94004437,644389,Belfast,Belfast town,A,,1637,859,42.298504,-78.1349878,43,,,1,1637,1578,1564,5,2,2,0,5,59,53,9,25,4,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637,8,1629,1574,1562,4,2,2,0,4,55,51,9,25,4,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1177,1135,1123,5,1,2,0,4,42,37,3,18,2,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,6,1171,1132,1122,4,1,2,0,3,39,35,3,18,2,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,632,227,3,0,0,0,0,0,0,0,0,0,0
83,PLST,NY,60,0,0,0,0,85,0600000US3600306717,3600306717,1,2,36,1779796,3.0,H1,974100.0,6717.0,T1,978735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,92951933,442892,Birdsall,Birdsall town,A,,190,250,42.397379,-77.8891949,43,,,1,190,189,186,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3,187,186,183,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,174,174,172,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,2,172,172,170,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,104,146,3,0,0,0,0,0,0,0,0,0,0
84,PLST,NY,60,0,0,0,0,86,0600000US3600307201,3600307201,1,2,36,1779796,3.0,H1,974100.0,7201.0,T1,978740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,92897857,26513,Bolivar,Bolivar town,A,,2029,999,42.016218,-78.1321175,43,,,1,2029,1954,1938,5,6,1,0,4,75,74,9,23,10,0,31,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,10,2019,1947,1935,5,6,1,0,0,72,72,9,23,9,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1549,1502,1489,3,6,1,0,3,47,47,2,18,6,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1549,7,1542,1496,1486,3,6,1,0,0,46,46,2,18,5,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,837,162,3,0,0,0,0,0,0,0,0,0,0
85,PLST,NY,60,0,0,0,0,87,0600000US3600311253,3600311253,1,2,36,1779796,3.0,H1,974100.0,11253.0,T1,978767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,70499924,93536,Burns,Burns town,A,,1036,509,42.4359789,-77.78183359999998,43,,,1,1036,999,985,3,2,0,0,9,37,35,2,12,4,0,16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1036,23,1013,988,974,3,2,0,0,9,25,24,2,12,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,801,775,762,3,2,0,0,8,26,24,2,11,2,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,801,8,793,771,758,3,2,0,0,8,22,21,2,11,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,509,430,79,3,0,0,0,0,0,0,0,0,0,0
86,PLST,NY,60,0,0,0,0,88,0600000US3600312243,3600312243,1,2,36,1779796,3.0,H1,974100.0,12243.0,T1,978787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,92329889,1795693,Caneadea,Caneadea town,A,,2294,901,42.3923788,-78.1364429,43,,,1,2294,2224,2012,80,7,71,1,53,70,64,8,22,1,2,25,0,0,0,4,0,0,0,1,1,0,6,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2294,79,2215,2155,1994,76,7,71,0,7,60,56,8,21,0,2,19,0,0,0,4,0,0,0,1,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1951,1904,1703,74,7,70,1,49,47,42,5,15,0,2,14,0,0,0,4,0,0,0,1,1,0,5,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,67,1884,1843,1689,70,7,70,0,7,41,37,5,15,0,2,9,0,0,0,4,0,0,0,1,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,577,324,3,781,88,0,0,88,0,693,650,0,43
87,PLST,NY,60,0,0,0,0,89,0600000US3600313475,3600313475,1,2,36,1779796,3.0,H1,974100.0,13475.0,T1,978807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,91756971,120974,Centerville,Centerville town,A,,929,421,42.4749655,-78.26769350000001,43,,,1,929,909,905,0,3,1,0,0,20,19,3,6,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,929,5,924,908,904,0,3,1,0,0,16,15,3,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,588,578,574,0,3,1,0,0,10,9,2,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,588,3,585,577,573,0,3,1,0,0,8,7,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,421,301,120,3,0,0,0,0,0,0,0,0,0,0
88,PLST,NY,60,0,0,0,0,90,0600000US3600315990,3600315990,1,2,36,1779796,3.0,H1,974100.0,15990.0,T1,978833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,93945811,52821,Clarksville,Clarksville town,A,,976,724,42.1401449,-78.24765409999999,43,,,1,976,925,914,5,1,4,0,1,51,46,4,19,1,0,21,0,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,7,969,920,910,4,1,4,0,1,49,45,4,19,1,0,20,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,806,771,764,2,1,4,0,0,35,31,3,7,1,0,19,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,2,804,770,763,2,1,4,0,0,34,30,3,7,1,0,18,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724,448,276,3,2,0,0,0,0,0,2,0,0,2
89,PLST,NY,60,0,0,0,0,91,0600000US3600319367,3600319367,1,2,36,1779796,3.0,H1,974100.0,19367.0,T1,978880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,90908206,1821221,Cuba,Cuba town,A,,3126,1710,42.208476,-78.24339640000001,43,,,1,3126,2956,2879,30,6,28,0,13,170,164,24,63,16,3,52,1,0,0,3,1,0,0,0,0,1,6,1,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3126,50,3076,2930,2860,30,6,26,0,8,146,144,24,62,16,3,34,0,0,0,3,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2458,2353,2297,20,6,20,0,10,105,99,7,35,9,3,40,1,0,0,3,1,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2458,30,2428,2340,2290,20,6,18,0,6,88,86,7,35,9,3,28,0,0,0,3,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1710,1342,368,3,57,57,0,0,57,0,0,0,0,0
